GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tpMavenEmma,mdi.tpMavenEmma,App,4,0,0,0,2,0,1,0,1,0
tpMavenEmma,mdi.tpMavenEmma,FirstPdf,404,0,4,0,94,0,11,0,9,0
